City Name,Country Name,Country Official Name,Country Code,Target Lat,Target Long,Grid Lat,Grid Long,Actual Lat,Actual Long,In Target Grid Area,Temp,Humidity,Cloudiness,Wind Speed,Wind Direction,Weather Description,Weather Icon URL
Avarua,Cook Islands,Cook Islands,CK,-67.04863324555825,-166.11492531845286,-69.0,-166.0,-21.21,-159.78,False,82.4,88.0,75.0,11.41,320.0,shower rain,http://openweathermap.org/img/w/09n.png
Mar Del Plata,Argentina,Argentine Republic,AR,-66.29565217109061,-28.05938267437087,-69.0,-26.0,-46.43,-67.52,False,61.26,43.0,0.0,8.19,268.501,clear sky,http://openweathermap.org/img/w/01d.png
Cidreira,Brazil,Federative Republic of Brazil,BR,-61.14494057339953,-19.37518492033109,-62.0,-19.0,-30.17,-50.22,False,87.27,76.0,20.0,7.18,76.001,few clouds,http://openweathermap.org/img/w/02d.png
Saint-Philippe,Réunion,Réunion,RE,-60.504629069913314,73.21132891136682,-62.0,72.0,-21.36,55.77,False,80.69,78.0,56.0,17.22,110.0,light rain,http://openweathermap.org/img/w/10n.png
Souillac,Mauritius,Republic of Mauritius,MU,-61.76458950281652,76.65865943851396,-62.0,79.0,-20.52,57.52,False,80.6,83.0,40.0,9.17,110.0,shower rain,http://openweathermap.org/img/w/09n.png
Castro,Chile,Republic of Chile,CL,-57.12151880616222,-107.19131964616633,-55.0,-110.0,-42.48,-73.76,False,53.6,62.0,75.0,3.36,,broken clouds,http://openweathermap.org/img/w/04d.png
Chuy,Uruguay,Eastern Republic of Uruguay,UY,-52.80493468470957,-30.98146775287328,-55.0,-33.0,-33.69,-53.46,False,78.54,91.0,36.0,13.44,68.001,scattered clouds,http://openweathermap.org/img/w/03d.png
Arraial Do Cabo,Brazil,Federative Republic of Brazil,BR,-57.480372728218505,-17.67448539316763,-55.0,-19.0,-22.97,-42.02,False,89.6,43.0,20.0,11.41,170.0,few clouds,http://openweathermap.org/img/w/02d.png
Tuatapere,New Zealand,New Zealand,NZ,-55.81864728313096,160.9013057200602,-55.0,163.0,-46.13,167.69,False,65.53,75.0,8.0,16.58,310.001,clear sky,http://openweathermap.org/img/w/02n.png
Dunedin,New Zealand,New Zealand,NZ,-53.01923626612134,177.77458810553108,-55.0,180.0,-45.87,170.5,False,65.22,68.0,24.0,7.07,309.501,few clouds,http://openweathermap.org/img/w/02n.png
Comodoro Rivadavia,Argentina,Argentine Republic,AR,-46.15445907029076,-65.23934013689839,-48.0,-68.0,-45.87,-67.48,True,64.4,23.0,75.0,8.05,290.0,broken clouds,http://openweathermap.org/img/w/04d.png
Rawson,Argentina,Argentine Republic,AR,-47.587320318313694,-62.56528611193882,-48.0,-61.0,-43.3,-65.11,False,67.2,28.0,0.0,13.11,247.001,clear sky,http://openweathermap.org/img/w/01d.png
Jamestown,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",SH,-50.62124722708808,-13.79662094985804,-48.0,-12.0,-15.94,-5.72,False,72.33,100.0,32.0,13.11,110.501,scattered clouds,http://openweathermap.org/img/w/03d.png
Margate,South Africa,Republic of South Africa,ZA,-44.96723654290099,43.750476860106595,-48.0,44.0,-30.86,30.37,False,82.36,84.0,36.0,9.19,40.001,scattered clouds,http://openweathermap.org/img/w/03d.png
Mahebourg,Mauritius,Republic of Mauritius,MU,-49.665964611081115,80.46779543438073,-48.0,79.0,-20.41,57.7,False,80.6,83.0,40.0,9.17,110.0,shower rain,http://openweathermap.org/img/w/09n.png
Esperance,Australia,Australia,AU,-45.530876770448266,125.6072145015082,-48.0,128.0,-33.86,121.89,False,64.4,93.0,90.0,12.75,120.0,overcast clouds,http://openweathermap.org/img/w/04n.png
Mount Gambier,Australia,Australia,AU,-47.61668326729203,132.48486700985626,-48.0,135.0,-37.83,140.78,False,62.6,77.0,90.0,6.93,160.0,overcast clouds,http://openweathermap.org/img/w/04n.png
Portland,Australia,Australia,AU,-44.997310943632826,139.8508632992231,-48.0,142.0,-33.35,149.98,False,63.1,84.0,0.0,2.26,28.501,clear sky,http://openweathermap.org/img/w/01n.png
Waitati,New Zealand,New Zealand,NZ,-46.58358982945075,172.41967923427472,-48.0,170.0,-45.75,170.57,True,65.22,68.0,24.0,7.07,309.501,few clouds,http://openweathermap.org/img/w/02n.png
Waipawa,New Zealand,New Zealand,NZ,-45.975649620906374,178.82474878655532,-48.0,177.0,-39.94,176.59,False,57.3,92.0,36.0,3.83,312.501,scattered clouds,http://openweathermap.org/img/w/03n.png
Ancud,Chile,Republic of Chile,CL,-41.137607755835994,-105.21594648198302,-41.0,-103.0,-41.87,-73.83,False,53.6,62.0,75.0,3.36,,broken clouds,http://openweathermap.org/img/w/04d.png
Lebu,Chile,Republic of Chile,CL,-38.44006866436966,-79.46334931186644,-41.0,-82.0,-37.62,-73.65,False,58.02,98.0,0.0,17.47,183.501,clear sky,http://openweathermap.org/img/w/01d.png
Neuquen,Argentina,Argentine Republic,AR,-38.97404900986811,-67.82948443888915,-41.0,-68.0,-38.95,-68.06,True,78.8,31.0,0.0,8.05,140.0,clear sky,http://openweathermap.org/img/w/01d.png
Necochea,Argentina,Argentine Republic,AR,-38.31242778089886,-58.5277495695752,-41.0,-61.0,-38.55,-58.74,True,83.58,63.0,12.0,12.21,340.501,few clouds,http://openweathermap.org/img/w/02d.png
Saldanha,South Africa,Republic of South Africa,ZA,-41.801127903343456,-3.293310609591906,-41.0,-5.0,-33.01,17.94,False,75.2,57.0,0.0,17.22,220.0,clear sky,http://openweathermap.org/img/w/01d.png
Bambous Virieux,Mauritius,Republic of Mauritius,MU,-40.32851920590555,81.04066434080164,-41.0,79.0,-20.34,57.76,False,80.6,83.0,40.0,9.17,110.0,shower rain,http://openweathermap.org/img/w/09n.png
Port Lincoln,Australia,Australia,AU,-41.10580262504465,132.11994362346718,-41.0,135.0,-34.72,135.86,False,62.25,100.0,0.0,9.64,143.501,clear sky,http://openweathermap.org/img/w/01n.png
Burnie,Australia,Australia,AU,-41.32828515230851,144.301562826243,-41.0,142.0,-41.05,145.91,True,60.76,100.0,8.0,16.69,255.001,clear sky,http://openweathermap.org/img/w/02n.png
Cooma,Australia,Australia,AU,-37.585930132111166,149.9492314765226,-41.0,149.0,-36.24,149.13,True,60.8,93.0,56.0,3.36,250.0,broken clouds,http://openweathermap.org/img/w/04n.png
Te Anau,New Zealand,New Zealand,NZ,-41.502185624079296,166.17645546867345,-41.0,163.0,-45.41,167.72,False,60.72,87.0,56.0,10.42,322.001,light rain,http://openweathermap.org/img/w/10n.png
Hokitika,New Zealand,New Zealand,NZ,-41.548303700245,169.09214344583674,-41.0,170.0,-42.72,170.96,True,63.55,100.0,92.0,9.08,300.001,light rain,http://openweathermap.org/img/w/10n.png
Otane,New Zealand,New Zealand,NZ,-43.077160458019726,180.0,-41.0,180.0,-39.89,176.62,True,54.24,93.0,24.0,2.48,291.501,few clouds,http://openweathermap.org/img/w/02n.png
Valparaiso,Chile,Republic of Chile,CL,-31.58569749271145,-76.26896958460752,-34.0,-75.0,-33.04,-71.63,False,66.87,55.0,0.0,5.82,310.0,clear sky,http://openweathermap.org/img/w/01d.png
La Ligua,Chile,Republic of Chile,CL,-32.514257545376815,-71.4518993530284,-34.0,-68.0,-32.45,-71.23,True,66.2,68.0,0.0,10.29,300.0,clear sky,http://openweathermap.org/img/w/01d.png
Paysandu,Uruguay,Eastern Republic of Uruguay,UY,-31.995471696775372,-58.319280789046815,-34.0,-61.0,-32.32,-58.08,True,85.78,84.0,48.0,7.18,51.001,moderate rain,http://openweathermap.org/img/w/10d.png
Rio Grande,Brazil,Federative Republic of Brazil,BR,-33.300637846966765,-50.727845005652796,-34.0,-54.0,-32.03,-52.1,True,84.2,74.0,75.0,13.87,90.0,broken clouds,http://openweathermap.org/img/w/04d.png
Sao Joao Da Barra,Brazil,Federative Republic of Brazil,BR,-32.23704779042374,-25.62176995179557,-34.0,-26.0,-21.64,-41.05,False,89.6,52.0,20.0,20.94,44.001,few clouds,http://openweathermap.org/img/w/02d.png
Luderitz,Namibia,Republic of Namibia,NA,-33.11311596448604,3.7566724110781884,-34.0,2.0,-26.65,15.16,False,66.84,78.0,0.0,23.73,182.001,clear sky,http://openweathermap.org/img/w/01d.png
Swellendam,South Africa,Republic of South Africa,ZA,-33.937110673869206,20.600284092459898,-34.0,23.0,-34.02,20.44,True,80.6,47.0,0.0,24.16,300.0,clear sky,http://openweathermap.org/img/w/01d.png
Beloha,Madagascar,Republic of Madagascar,MG,-34.33372478709209,41.72261264229485,-34.0,44.0,-25.17,45.06,False,92.35,41.0,12.0,13.22,113.501,light rain,http://openweathermap.org/img/w/10d.png
Geraldton,Australia,Australia,AU,-34.568797598147235,88.75212918146713,-34.0,86.0,-28.77,114.6,False,69.8,77.0,90.0,11.41,190.0,overcast clouds,http://openweathermap.org/img/w/04n.png
Northam,Australia,Australia,AU,-30.822281739003508,119.77222591418439,-34.0,121.0,-31.65,116.67,True,68.0,77.0,90.0,10.29,250.0,overcast clouds,http://openweathermap.org/img/w/04n.png
Flinders,Australia,Australia,AU,-30.525129928645327,131.37047380029136,-34.0,128.0,-34.58,150.85,False,68.19,95.0,24.0,1.81,171.501,few clouds,http://openweathermap.org/img/w/02n.png
Whyalla,Australia,Australia,AU,-33.866751103091836,137.48977201773704,-34.0,135.0,-33.04,137.58,True,71.6,56.0,0.0,16.11,180.0,clear sky,http://openweathermap.org/img/w/01n.png
Broken Hill,Australia,Australia,AU,-31.429184863189494,139.70878055651633,-34.0,142.0,-31.97,141.45,True,84.2,17.0,0.0,19.46,190.0,clear sky,http://openweathermap.org/img/w/01n.png
Forbes,Australia,Australia,AU,-32.88108029750935,146.61983244266716,-34.0,149.0,-33.38,148.01,True,77.28,55.0,36.0,7.74,70.001,scattered clouds,http://openweathermap.org/img/w/03n.png
Port Macquarie,Australia,Australia,AU,-32.36050431753075,158.20142664233697,-34.0,156.0,-31.43,152.91,False,71.6,83.0,0.0,11.41,40.0,clear sky,http://openweathermap.org/img/w/01n.png
Ahipara,New Zealand,New Zealand,NZ,-35.866369034928496,168.8940156129254,-34.0,170.0,-35.17,173.16,False,64.68,100.0,80.0,6.4,192.501,light rain,http://openweathermap.org/img/w/10n.png
Whitianga,New Zealand,New Zealand,NZ,-35.23042115137859,176.21284952783563,-34.0,177.0,-36.83,175.7,True,67.11,100.0,0.0,10.98,229.501,clear sky,http://openweathermap.org/img/w/01n.png
Pisco,Peru,Republic of Peru,PE,-26.632397482252873,-100.03791067851479,-27.0,-103.0,-13.71,-76.2,False,73.95,74.0,0.0,3.38,242.501,clear sky,http://openweathermap.org/img/w/01d.png
Coquimbo,Chile,Republic of Chile,CL,-27.721482339080367,-88.27378949132827,-27.0,-89.0,-29.95,-71.34,False,66.2,68.0,20.0,11.41,290.0,few clouds,http://openweathermap.org/img/w/02d.png
Copiapo,Chile,Republic of Chile,CL,-27.36821254749343,-72.1318387512016,-27.0,-75.0,-27.37,-70.33,True,69.8,56.0,0.0,6.93,280.0,clear sky,http://openweathermap.org/img/w/01d.png
Presidencia Roque Saenz Pena,Argentina,Argentine Republic,AR,-26.050201333228838,-61.11481291176224,-27.0,-61.0,-26.79,-60.44,True,87.09,85.0,56.0,13.78,8.00104,broken clouds,http://openweathermap.org/img/w/04d.png
Jandaia Do Sul,Brazil,Federative Republic of Brazil,BR,-23.71439060977022,-51.79264933990751,-27.0,-54.0,-23.6,-51.64,True,86.0,62.0,40.0,9.17,90.0,scattered clouds,http://openweathermap.org/img/w/03d.png
Sao Mateus Do Sul,Brazil,Federative Republic of Brazil,BR,-25.62901966150151,-50.32189235400412,-27.0,-47.0,-25.87,-50.38,True,81.73,82.0,0.0,5.39,52.001,clear sky,http://openweathermap.org/img/w/01d.png
Vila Velha,Brazil,Federative Republic of Brazil,BR,-24.363305653113322,-32.23664514109004,-27.0,-33.0,-3.71,-38.6,False,87.8,62.0,40.0,17.22,110.0,scattered clouds,http://openweathermap.org/img/w/03d.png
Walvis Bay,Namibia,Republic of Namibia,NA,-23.670983462638475,10.136549991679152,-27.0,9.0,-22.95,14.51,False,73.4,56.0,0.0,16.11,260.0,clear sky,http://openweathermap.org/img/w/01d.png
Karasburg,Namibia,Republic of Namibia,NA,-27.09461111875501,18.99138564423486,-27.0,16.0,-28.01,18.75,True,96.27,21.0,0.0,11.21,227.501,light rain,http://openweathermap.org/img/w/10d.png
Werda,Botswana,Republic of Botswana,BW,-26.03791318516957,23.536809691565086,-27.0,23.0,-25.27,23.28,True,76.11,76.0,32.0,9.08,20.001,scattered clouds,http://openweathermap.org/img/w/03d.png
Richards Bay,South Africa,Republic of South Africa,ZA,-28.979040930084587,33.05410151524059,-27.0,30.0,-28.77,32.06,True,84.21,65.0,92.0,11.43,359.001,overcast clouds,http://openweathermap.org/img/w/04d.png
Carnarvon,Australia,Australia,AU,-24.578285338009287,95.93823415034328,-27.0,93.0,-24.87,113.63,False,73.4,83.0,0.0,24.16,180.0,clear sky,http://openweathermap.org/img/w/01n.png
Port Hedland,Australia,Australia,AU,-24.74807098086414,120.46897877866239,-27.0,121.0,-20.31,118.58,False,78.8,88.0,0.0,8.05,280.0,clear sky,http://openweathermap.org/img/w/01n.png
Alice Springs,Australia,Australia,AU,-27.901592721252158,134.63436639614977,-27.0,135.0,-23.7,133.88,False,84.2,16.0,0.0,10.09,162.001,clear sky,http://openweathermap.org/img/w/01n.png
Port Augusta,Australia,Australia,AU,-29.11676365310953,138.62025479460453,-27.0,142.0,-32.49,137.76,True,71.6,56.0,0.0,16.11,180.0,clear sky,http://openweathermap.org/img/w/01n.png
Dalby,Australia,Australia,AU,-27.51584345639026,150.84713969472304,-27.0,149.0,-27.18,151.26,True,68.0,64.0,0.0,9.17,80.0,clear sky,http://openweathermap.org/img/w/01n.png
Hervey Bay,Australia,Australia,AU,-23.8120376061806,158.39501811572978,-27.0,156.0,-25.3,152.85,False,69.8,88.0,0.0,5.82,190.0,clear sky,http://openweathermap.org/img/w/01n.png
Noumea,New Caledonia,New Caledonia,NC,-24.55057356850365,165.63348757984778,-27.0,163.0,-22.28,166.46,True,71.6,83.0,0.0,2.24,,clear sky,http://openweathermap.org/img/w/01n.png
Vao,New Caledonia,New Caledonia,NC,-25.078594612399648,169.43580147480534,-27.0,170.0,-22.67,167.48,True,76.78,99.0,48.0,22.17,109.001,scattered clouds,http://openweathermap.org/img/w/03n.png
Kaeo,New Zealand,New Zealand,NZ,-30.1454116795706,176.28723626083826,-27.0,177.0,-35.1,173.78,False,62.2,99.0,24.0,4.94,205.501,light rain,http://openweathermap.org/img/w/10n.png
Ngunguru,New Zealand,New Zealand,NZ,-30.247559836284367,180.0,-27.0,180.0,-35.62,174.5,False,66.43,99.0,0.0,12.44,202.001,clear sky,http://openweathermap.org/img/w/01n.png
Neiafu,Tonga,Kingdom of Tonga,TO,-17.923567559832463,-175.1236787117911,-20.0,-173.0,-18.65,-173.98,True,75.2,100.0,90.0,2.24,,moderate rain,http://openweathermap.org/img/w/10n.png
Moerai,French Polynesia,French Polynesia,PF,-20.1959234954234,-153.45103344780884,-20.0,-152.0,-22.43,-151.33,True,81.06,95.0,44.0,8.97,359.501,scattered clouds,http://openweathermap.org/img/w/03d.png
Tautira,French Polynesia,French Polynesia,PF,-17.223865700572233,-145.43351119778612,-20.0,-145.0,-17.73,-149.15,False,80.6,65.0,76.0,5.82,80.0,broken clouds,http://openweathermap.org/img/w/04d.png
Puerto Ayora,Ecuador,Republic of Ecuador,EC,-17.43767167802876,-104.02653858243092,-20.0,-103.0,-0.74,-90.35,False,80.6,74.0,90.0,16.11,140.0,overcast clouds,http://openweathermap.org/img/w/04d.png
Lima,Peru,Republic of Peru,PE,-19.328320858192278,-89.51145894941551,-20.0,-89.0,-12.06,-77.04,False,73.4,78.0,90.0,10.29,170.0,overcast clouds,http://openweathermap.org/img/w/04d.png
Acari,Peru,Republic of Peru,PE,-18.152487859948536,-75.75286177309277,-20.0,-75.0,-15.44,-74.62,True,72.42,66.0,20.0,3.04,198.501,few clouds,http://openweathermap.org/img/w/02d.png
Calama,Chile,Republic of Chile,CL,-22.929935958972855,-67.45889435754881,-20.0,-68.0,-22.46,-68.93,True,77.0,53.0,0.0,9.17,260.0,clear sky,http://openweathermap.org/img/w/01d.png
El Carmen,"Bolivia, Plurinational State of",Plurinational State of Bolivia,BO,-17.829637707887457,-63.088484991200566,-20.0,-61.0,-12.59,-64.14,False,83.58,77.0,56.0,4.38,344.001,broken clouds,http://openweathermap.org/img/w/04d.png
Cacu,Brazil,Federative Republic of Brazil,BR,-18.615850946132948,-50.972251680084355,-20.0,-54.0,-18.56,-51.13,True,81.01,93.0,48.0,5.5,327.001,scattered clouds,http://openweathermap.org/img/w/03d.png
Porto Seguro,Brazil,Federative Republic of Brazil,BR,-16.930171306692767,-38.57861801896992,-20.0,-40.0,-16.44,-39.06,True,86.0,62.0,20.0,16.11,80.0,few clouds,http://openweathermap.org/img/w/02d.png
Caravelas,Brazil,Federative Republic of Brazil,BR,-20.87808855218865,-29.644252206175622,-20.0,-33.0,-17.73,-39.27,False,80.56,99.0,0.0,12.33,42.001,clear sky,http://openweathermap.org/img/w/01d.png
Maceio,Brazil,Federative Republic of Brazil,BR,-17.595165347488333,-25.810980765632763,-20.0,-26.0,-9.67,-35.74,False,87.8,52.0,40.0,13.87,140.0,scattered clouds,http://openweathermap.org/img/w/03d.png
Opuwo,Namibia,Republic of Namibia,NA,-19.539185752771346,11.990463011473386,-20.0,9.0,-18.06,13.84,True,86.46,44.0,24.0,4.94,237.001,light rain,http://openweathermap.org/img/w/10d.png
Grootfontein,Namibia,Republic of Namibia,NA,-19.290281089803184,18.5607544023523,-20.0,16.0,-19.56,18.1,True,82.4,37.0,20.0,6.93,80.0,few clouds,http://openweathermap.org/img/w/02d.png
Maun,Botswana,Republic of Botswana,BW,-20.421415570276316,23.519728333337063,-20.0,23.0,-19.99,23.42,True,68.0,100.0,75.0,8.05,250.0,thunderstorm with light rain,http://openweathermap.org/img/w/11d.png
Thohoyandou,South Africa,Republic of South Africa,ZA,-22.83568172902091,30.480756198793124,-20.0,30.0,-22.97,30.46,True,83.08,62.0,88.0,5.61,131.001,overcast clouds,http://openweathermap.org/img/w/04d.png
Beira,Mozambique,Republic of Mozambique,MZ,-19.835614525491458,36.076692047329,-20.0,37.0,-19.84,34.84,True,86.0,74.0,20.0,11.88,102.001,few clouds,http://openweathermap.org/img/w/02d.png
Morondava,Madagascar,Republic of Madagascar,MG,-20.059760475635656,43.2160717922464,-20.0,44.0,-20.3,44.28,True,90.42,67.0,8.0,7.96,244.001,clear sky,http://openweathermap.org/img/w/02d.png
Manakara,Madagascar,Republic of Madagascar,MG,-22.399204860008123,47.884372585674285,-20.0,51.0,-22.14,48.01,True,81.87,84.0,32.0,12.77,63.501,scattered clouds,http://openweathermap.org/img/w/03n.png
Hithadhoo,Maldives,Republic of Maldives,MV,-19.797548408429257,85.3552528326788,-20.0,86.0,-0.6,73.08,False,82.05,100.0,12.0,6.29,51.001,few clouds,http://openweathermap.org/img/w/02n.png
Karratha,Australia,Australia,AU,-16.915043754314492,115.48428005930097,-20.0,114.0,-20.74,116.85,False,76.29,80.0,0.0,6.4,331.001,clear sky,http://openweathermap.org/img/w/01n.png
Broome,Australia,Australia,AU,-22.266359331501338,124.90587983805551,-20.0,128.0,-17.97,122.23,False,84.2,79.0,40.0,10.29,280.0,scattered clouds,http://openweathermap.org/img/w/03n.png
Mount Isa,Australia,Australia,AU,-21.29671020132781,137.47658654504238,-20.0,135.0,-20.73,139.49,True,73.4,27.0,0.0,8.63,84.501,clear sky,http://openweathermap.org/img/w/01n.png
Charters Towers,Australia,Australia,AU,-22.31345161961615,145.47571871389724,-20.0,142.0,-20.07,146.27,True,71.2,76.0,0.0,10.2,90.001,clear sky,http://openweathermap.org/img/w/01n.png
Poum,New Caledonia,New Caledonia,NC,-17.567038087978094,157.17424709311754,-20.0,156.0,-20.23,164.02,False,78.9,100.0,0.0,13.22,99.001,clear sky,http://openweathermap.org/img/w/01n.png
Isangel,Vanuatu,Republic of Vanuatu,VU,-19.699284182855273,168.26143928847753,-20.0,170.0,-19.55,169.27,True,79.08,100.0,76.0,18.03,110.501,broken clouds,http://openweathermap.org/img/w/04n.png
Faanui,French Polynesia,French Polynesia,PF,-12.090056006857388,-157.2394425150711,-13.0,-159.0,-16.48,-151.75,False,84.75,96.0,92.0,13.0,48.001,overcast clouds,http://openweathermap.org/img/w/04d.png
Tiarei,French Polynesia,French Polynesia,PF,-11.728931122249927,-147.00365293499578,-13.0,-145.0,-17.53,-149.33,False,80.6,65.0,88.0,5.82,80.0,overcast clouds,http://openweathermap.org/img/w/04d.png
Atuona,French Polynesia,French Polynesia,PF,-13.002958754032377,-134.8004715972682,-13.0,-138.0,-9.8,-139.03,False,80.34,100.0,24.0,15.79,97.001,few clouds,http://openweathermap.org/img/w/02d.png
San Cristobal,Ecuador,Republic of Ecuador,EC,-16.04785479546431,-92.90527577528174,-13.0,-96.0,-1.02,-79.44,False,67.11,89.0,24.0,1.81,274.501,light rain,http://openweathermap.org/img/w/10d.png
Hualmay,Peru,Republic of Peru,PE,-16.368330870706743,-87.01336868926172,-13.0,-89.0,-11.1,-77.61,False,73.95,74.0,0.0,4.94,198.001,clear sky,http://openweathermap.org/img/w/01d.png
Huarmey,Peru,Republic of Peru,PE,-11.031208154262854,-80.68869960898215,-13.0,-82.0,-10.07,-78.15,True,75.21,67.0,8.0,4.16,207.001,clear sky,http://openweathermap.org/img/w/02d.png
Ayna,Peru,Republic of Peru,PE,-12.38669012517761,-73.47507630179007,-13.0,-75.0,-12.72,-73.91,True,58.56,97.0,100.0,1.36,277.001,light rain,http://openweathermap.org/img/w/10d.png
Iberia,Peru,Republic of Peru,PE,-11.773119671744904,-69.58588320010179,-13.0,-68.0,-11.41,-69.49,True,87.27,58.0,36.0,3.71,326.501,scattered clouds,http://openweathermap.org/img/w/03d.png
Mozarlandia,Brazil,Federative Republic of Brazil,BR,-14.085901979590462,-51.944288132801,-13.0,-54.0,-14.74,-50.57,True,86.1,70.0,36.0,4.5,309.501,scattered clouds,http://openweathermap.org/img/w/03d.png
Porto Nacional,Brazil,Federative Republic of Brazil,BR,-11.028476835147861,-47.51451693193165,-13.0,-47.0,-10.7,-48.41,True,81.73,98.0,20.0,4.38,6.00104,few clouds,http://openweathermap.org/img/w/02d.png
Maragogi,Brazil,Federative Republic of Brazil,BR,-15.042728569413505,-27.042142707286253,-13.0,-26.0,-9.01,-35.22,False,80.97,91.0,76.0,7.29,115.501,light rain,http://openweathermap.org/img/w/10d.png
Georgetown,"Saint Helena, Ascension and Tristan da Cunha","Saint Helena, Ascension and Tristan da Cunha",SH,-10.632277308522685,-20.479313855156718,-13.0,-19.0,-7.93,-14.42,False,77.95,100.0,64.0,14.79,119.501,broken clouds,http://openweathermap.org/img/w/04d.png
Namibe,Angola,Republic of Angola,AO,-14.209373588699798,5.156833210720492,-13.0,2.0,-15.19,12.15,False,76.02,100.0,0.0,16.13,230.001,clear sky,http://openweathermap.org/img/w/01d.png
Caconda,Angola,Republic of Angola,AO,-14.257451323494973,16.303783968018116,-13.0,16.0,-13.73,15.06,True,78.31,60.0,12.0,5.95,253.501,light rain,http://openweathermap.org/img/w/10d.png
Kalabo,Zambia,Republic of Zambia,ZM,-15.333463852542252,22.76477602060791,-13.0,23.0,-15.0,22.67,True,86.1,56.0,0.0,7.4,22.501,light rain,http://openweathermap.org/img/w/10d.png
Mkushi,Zambia,Republic of Zambia,ZM,-13.499662647191638,29.143034862034593,-13.0,30.0,-13.61,29.4,True,75.93,82.0,24.0,5.39,45.001,light rain,http://openweathermap.org/img/w/10d.png
Cuamba,Mozambique,Republic of Mozambique,MZ,-14.085890929730565,37.04019766501793,-13.0,37.0,-14.8,36.54,True,80.16,77.0,76.0,4.16,72.001,broken clouds,http://openweathermap.org/img/w/04d.png
